#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1        2.97        2.97           0
           2     2.96989     2.96995  3.7792e-05
           3     2.96957     2.96982 0.000104797
           4     2.96904     2.96963 0.000186783
           5     2.96829     2.96936 0.000281565
           6     2.96733     2.96902 0.000387789
           7     2.96615     2.96861 0.000504567
           8     2.96475     2.96813 0.000631297
           9     2.96313     2.96757 0.000767573
          10     2.96128     2.96694 0.000913128
          11      2.9592     2.96624   0.0010678
          12     2.95687     2.96546  0.00123152
          13      2.9543      2.9646  0.00140428
          14     2.95148     2.96366  0.00158604
          15      2.9484     2.96265  0.00177687
          16     2.94505     2.96155  0.00197695
          17     2.94143     2.96036   0.0021864
          18     2.93751     2.95909  0.00240537
          19      2.9333     2.95774  0.00263412
          20     2.92878     2.95629  0.00287296
          21     2.92393     2.95475  0.00312222
          22     2.91874     2.95311  0.00338227
          23     2.91319     2.95138   0.0036535
          24     2.90728     2.94954  0.00393626
          25     2.90098      2.9476  0.00423095
          26     2.89428     2.94554    0.004538
          27     2.88716     2.94338  0.00485785
          28      2.8796      2.9411  0.00519098
          29     2.87159     2.93871  0.00553786
          30      2.8631     2.93619  0.00589893
          31     2.85412     2.93354  0.00627466
          32     2.84462     2.93076  0.00666555
          33     2.83458     2.92785  0.00707212
          34     2.82398     2.92479  0.00749491
          35      2.8128     2.92159  0.00793447
          36     2.80101     2.91824  0.00839133
          37     2.78859     2.91474    0.008866
          38     2.77553     2.91108  0.00935893
          39     2.76181     2.90725  0.00987058
          40      2.7474     2.90325   0.0104014
          41     2.73229     2.89908   0.0109517
          42     2.71645     2.89473   0.0115218
          43     2.69989      2.8902   0.0121122
          44     2.68257     2.88548    0.012723
          45     2.66449     2.88057   0.0133545
          46     2.64565     2.87547   0.0140067
          47     2.62604     2.87016   0.0146796
          48     2.60565     2.86465   0.0153734
          49      2.5845     2.85893   0.0160877
          50     2.56259       2.853   0.0168223
          51     2.53993     2.84686   0.0175769
          52     2.51655     2.84051   0.0183508
          53     2.49247     2.83395   0.0191435
          54     2.46771     2.82716   0.0199543
          55     2.44231     2.82017   0.0207822
          56     2.41631     2.81295   0.0216261
          57     2.38976     2.80553   0.0224851
          58      2.3627      2.7979   0.0233577
          59     2.33519     2.79005   0.0242426
          60     2.30729     2.78201   0.0251384
          61     2.27906     2.77376   0.0260433
          62     2.25055     2.76532   0.0269559
          63     2.22184      2.7567   0.0278743
          64     2.19298     2.74789   0.0287967
          65     2.16406     2.73891   0.0297215
          66     2.13513     2.72976   0.0306467
          67     2.10626     2.72045   0.0315706
          68     2.07751       2.711   0.0324914
          69     2.04894      2.7014   0.0334072
          70     2.02063     2.69168   0.0343163
          71     1.99262     2.68183   0.0352172
          72     1.96497     2.67187    0.036108
          73     1.93775     2.66182   0.0369873
          74     1.91099     2.65167   0.0378536
          75     1.88477     2.64145   0.0387053
          76     1.85912     2.63115   0.0395412
          77     1.83411      2.6208   0.0403598
          78     1.80977      2.6104     0.04116
          79     1.78616     2.59997   0.0419405
          80     1.76332     2.58951   0.0427002
          81     1.74131     2.57904   0.0434381
          82     1.72016     2.56857   0.0441532
          83     1.69992      2.5581   0.0448444
          84     1.68064     2.54765   0.0455109
          85     1.66236     2.53724   0.0461518
          86     1.64511     2.52687   0.0467665
          87     1.62893     2.51654   0.0473542
          88     1.61386     2.50629   0.0479142
          89     1.59993      2.4961    0.048446
          90     1.58716       2.486    0.048949
          91     1.57556       2.476    0.049423
          92     1.56515      2.4661   0.0498676
          93     1.55595     2.45631   0.0502826
          94     1.54793     2.44665   0.0506677
          95      1.5411     2.43712   0.0510231
          96     1.53543     2.42772   0.0513489
          97     1.53089     2.41848   0.0516452
          98     1.52745     2.40939   0.0519123
          99     1.52505     2.40045   0.0521508
         100     1.52365     2.39168   0.0523612
         101     1.52317     2.38309   0.0525442
         102     1.52355     2.37466   0.0527004
         103      1.5247     2.36641   0.0528309
         104     1.52657     2.35833   0.0529365
         105     1.52905     2.35043   0.0530182
         106     1.53207     2.34271   0.0530772
         107     1.53554     2.33517   0.0531145
         108     1.53939      2.3278   0.0531313
         109     1.54352     2.32061   0.0531289
         110     1.54788     2.31358   0.0531083
         111     1.55238     2.30672   0.0530707
         112     1.55696     2.30003   0.0530174
         113     1.56156     2.29349   0.0529495
         114     1.56614     2.28711    0.052868
         115     1.57064     2.28088   0.0527741
         116     1.57503      2.2748   0.0526688
         117     1.57927     2.26885    0.052553
         118     1.58335     2.26304   0.0524278
         119     1.58723     2.25737   0.0522939
         120     1.59092     2.25181   0.0521522
         121     1.59439     2.24638   0.0520034
         122     1.59765     2.24106   0.0518483
         123      1.6007     2.23585   0.0516875
         124     1.60354     2.23076   0.0515216
         125     1.60618     2.22576   0.0513511
         126     1.60864     2.22086   0.0511766
         127     1.61091     2.21606   0.0509985
         128     1.61303     2.21135   0.0508172
         129       1.615     2.20672   0.0506331
         130     1.61683     2.20219   0.0504465
         131     1.61855     2.19773   0.0502578
         132     1.62018     2.19336   0.0500672
         133     1.62171     2.18906   0.0498749
         134     1.62318     2.18484   0.0496811
         135     1.62459     2.18069   0.0494861
         136     1.62595     2.17661   0.0492901
         137     1.62728      2.1726   0.0490931
         138     1.62857     2.16865   0.0488954
         139     1.62984     2.16478   0.0486971
         140     1.63108     2.16097   0.0484982
         141      1.6323     2.15722    0.048299
         142      1.6335     2.15353   0.0480994
         143     1.63468      2.1499   0.0478997
         144     1.63582     2.14633   0.0476999
         145     1.63694     2.14282   0.0475002
         146     1.63803     2.13936   0.0473005
         147     1.63908     2.13596    0.047101
         148      1.6401     2.13261   0.0469017
         149     1.64107     2.12931   0.0467028
         150     1.64199     2.12606   0.0465043
         151     1.64286     2.12286   0.0463063
